"LocationLongitude","LocationLatitude","IPAddress","Message","Q1","Q37","Q43","Q44","Q36","Q33","Q42","Q34","Q35","Q25","Q24_1","Q24_2","Q24_3","Q24_4","Q24_5","Q24_6","Q24_7","Q24_8","Q26","Q28","Q29","Q30","Q31","Q32_1","Q32_2","Q32_3","Q32_4","Q32_5","Q32_6","Q32_7","Q32_8","Q33_1","Q33_2","Q33_3","Q33_4","Q33_5","Q33_6","Q33_7","Q33_8","Q41_1","Q41_2","Q41_3","Q41_4","Q41_5","Q41_6","Q41_7","Q41_8","Q41_9","Q42_1","Q40","Q12","Q18","Q16_1","Q16_2","Q16_3","Q16_4","Q16_5","Q16_6","Q16_7","Q16_8","Q17","Q34_1","Q36_1","Q37_1","Q39","Q38","Q40_1","Q40_2","Q40_3","Q40_4","Q40_5","Q40_6","Q40_7","Q40_8","Q40_9","Q40_10","Q21","Q19","Q20","Q13","Q14","Q15","Q23","PassFail"
-97.9517974853516,35.0267944335938,"74.197.197.236","No Message Control","I AGREE to participate",1,"None at all","None at all","0",0,"0",0,"0","Neither likely nor unlikely",8,5,4,7,3,2,6,1,"Slightly more vulnerable","Slightly more vulnerable","No",0,"i dont know much about it",0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","Voted in the last federal election","Neither agree nor disagree","James K. Polk",51,"Female","White","0","0","0",0,"0","0","0","Yes","Grady",10,"Rural","No Relationship","0","0","Camped","0","0","Gone boating (kayaking, canoeing, motorboating...)","0","Fished","Visited a local park","0","Visited a national park (anywhere in the US)","Some college","Employed full time","$100,000 - $149,999","Republican","0","Neither/Even Split","none","Pass"
-97.4535980224609,35.2144012451172,"75.31.40.190","Message 2 River","I AGREE to participate",1,"A moderate amount","A lot","0",0,"0",1,"An attorney challenging the permit","Slightly unlikely",4,1,6,8,5,2,7,3,"Slightly less vulnerable","Moderately less vulnerable","Yes",40,"0",5,10,5,5,5,3,2,5,0,0,0,0,0,0,0,0,"Donated time or money to a political campaign","0","0","Signed a petition","0","0","0","Volunteered to register voters or work at a polling place","Voted in the last federal election","Agree","Millard Fillmore",26,"Male","White","0","0","0",0,"0","0","0","Yes","Noble",5,"Rural","Visit the area for recreation/tourism","0","Hiked","Camped","0","Biked for recreation","0","Hunted","Fished","Visited a local park","Visited a wildlife refuge or state park","Visited a national park (anywhere in the US)","4 year degree","Employed full time","$10,000 - $19,999","Democrat","0","&nbsp;","I think this is examining the potential risks and decisions regarding natural resources and extracting those from the Kiamichi River. Overall, excellent survey!","Pass"
-95.5139007568359,34.0113067626953,"104.4.14.240","No Message Control","I AGREE to participate",1,"None at all","None at all","0",0,"0",0,"0","Slightly likely",4,6,1,3,2,8,7,5,"Moderately more vulnerable","Much more vulnerable","Yes",20,"0",0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","Signed a petition","0","0","0","0","Voted in the last federal election","Somewhat disagree","Millard Fillmore",23,"Female","0","0","American Indian or Alaska Native","0",0,"0","0","0","Yes","Cleveland",21,"Urban","No Relationship","0","Hiked","0","0","0","0","0","Fished","Visited a local park","0","Visited a national park (anywhere in the US)","Some college","Student","$20,000 - $29,999","Democrat","0","&nbsp;","0","Pass"
-97.5362014770508,35.3791961669922,"174.67.4.137","No Message Control","I AGREE to participate",1,"A little","A moderate amount","0",0,"0",0,"0","Moderately likely",0,0,0,0,0,0,0,0,"About the same","About the same","Yes",1000,"0",100,200,100,100,200,100,100,100,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","Voted in the last federal election","Strongly disagree","James Buchanan",39,"Male","White","0","0","0",0,"0","0","0","Yes","Cleveland",39,"Suburban","Oklahoma City metro area resident","0","Hiked","Camped","0","0","0","Hunted","Fished","Visited a local park","Visited a wildlife refuge or state park","Visited a national park (anywhere in the US)","Some college","Unemployed looking for work","$10,000 - $19,999","Democrat","0","&nbsp;","The back of the time issue watershed","Pass"
-94.9113006591797,39.9091949462891,"173.127.219.12","Message 1 OKC","I AGREE to participate",1,"A little","A little","0",1,"An attorney for the city",0,"0","Moderately likely",7,2,1,8,6,5,3,4,"Much more vulnerable","Moderately more vulnerable","Yes",50,"0",5,5,5,0,10,5,10,10,0,0,0,0,0,0,0,0,"0","0","0","Signed a petition","0","0","0","0","Voted in the last federal election","Agree","Millard Fillmore",56,"Male","White","0","0","0",0,"0","0","0","Yes","Oklahoma",54,"Suburban","Oklahoma City metro area resident","0","Hiked","Camped","0","0","0","0","0","Visited a local park","Visited a wildlife refuge or state park","0","Professional degree","Employed full time","$70,000 - $79,999","Democrat","0","Liberal","I think that this study is researching how Oklahoma residents view thie effect of this Dam project on the wildlife in the state of Oklahoma.","Pass"
-97.4535980224609,35.2144012451172,"45.17.202.148","Message 1 OKC","I AGREE to participate",1,"None at all","None at all","0",1,"An attorney for the city",0,"0","Moderately likely",2,4,3,1,5,8,6,7,"Moderately more vulnerable","Much more vulnerable","Yes",25,"0",5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","Signed a petition","Joined and/or contribute to a community-lead group (via social media or in-person)","Called or written to a representative (local, state, or national)","Served on a committee or board","0","Voted in the last federal election","Agree","Millard Fillmore",38,"Male","White","0","0","0",0,"0","0","0","Yes","Cleveland",38,"Suburban","No Relationship","0","Hiked","Camped","0","0","0","0","0","Visited a local park","Visited a wildlife refuge or state park","0","Professional degree","Employed full time","$100,000 - $149,999","Democrat","0","&nbsp;","Willingness to contribute to regional causes affecting conservation.","Pass"
-97.5556030273438,35.327392578125,"99.108.83.14","No Message Control","I AGREE to participate",1,"A little","A little","0",0,"0",0,"0","Moderately likely",1,2,8,3,4,7,5,6,"About the same","Slightly more vulnerable","No",0,"I am more interested the Kiamichi as a source of drinking water to Oklahomans.\If this is the area I think it is, Oklahoma City has tried to buy the water rights, but parties from Texas have attempted to buy water as well. If the water is for sale to the highest bidder, that bidder needs to pay for the conservation of the watershed.\Oklahoma City is the more logical choice since  Okies do not want to destroy their environment and a good source of water.",0,0,0,0,0,0,0,0,70,10,0,10,10,0,0,0,"0","Attended a town hall or city council meeting","Attended a rally/demonstration/march","0","0","0","0","0","Voted in the last federal election","Neither agree nor disagree","Millard Fillmore",54,"Male","White","0","0","0",0,"0","0","0","Yes","Cleveland",36,"Suburban","Oklahoma City metro area resident","0","0","0","0","0","0","0","0","Visited a local park","0","0","4 year degree","Employed full time","$90,000 - $99,999","Republican","0","Conservative","not sure","Pass"
-94.8719024658203,36.8764038085938,"72.14.10.39","Message 2 River","I AGREE to participate",1,"None at all","None at all","0",0,"0",1,"An attorney challenging the permit","Slightly likely",1,6,3,2,5,8,4,7,"About the same","Slightly more vulnerable","Yes",100,"0",20,10,20,25,10,0,10,5,0,0,0,0,0,0,0,0,"0","0","0","Signed a petition","0","0","0","0","Voted in the last federal election","Strongly disagree","Millard Fillmore",40,"Male","White","0","0","0",0,"0","0","0","Yes","Ottawa",35,"Rural","No Relationship","0","0","0","0","Biked for recreation","0","0","0","Visited a local park","Visited a wildlife refuge or state park","0","4 year degree","Employed full time","$20,000 - $29,999","Democrat","0","&nbsp;","Oklahoma city getting a permit to get water from southeast oklahoma and if good for them and if it is a negative from the area where the water will be taken from","Pass"
-95.9796981811523,36.0148010253906,"72.213.173.166","No Message Control","I AGREE to participate",1,"None at all","None at all","0",0,"0",0,"0","Neither likely nor unlikely",3,7,6,8,5,2,4,1,"Slightly more vulnerable","Slightly more vulnerable","No",0,"I have other things that are important to me that i already support.",0,0,0,0,0,0,0,0,10,10,30,10,10,10,10,10,"Donated time or money to a political campaign","Attended a town hall or city council meeting","Attended a rally/demonstration/march","Signed a petition","Joined and/or contribute to a community-lead group (via social media or in-person)","Called or written to a representative (local, state, or national)","0","0","Voted in the last federal election","Strongly agree","Zachary Taylor",46,"Female","White","0","0","0",0,"0","0","0","Yes","Tulsa",20,"Suburban","No Relationship","0","Hiked","0","0","0","Gone boating (kayaking, canoeing, motorboating...)","0","0","Visited a local park","0","Visited a national park (anywhere in the US)","4 year degree","Employed full time","$80,000 - $89,999","Democrat","0","Liberal","Not sure","Pass"
-95.7592010498047,34.9261932373047,"108.208.39.154","No Message Control","I AGREE to participate",1,"A little","A moderate amount","0",0,"0",0,"0","Moderately likely",6,3,2,5,1,4,7,8,"Slightly more vulnerable","Moderately more vulnerable","No",0,"I would love to provide support, but I can not because of low income and having to feed and take care of my family.",0,0,0,0,0,0,0,0,15,15,20,15,15,10,5,5,"Donated time or money to a political campaign","Attended a town hall or city council meeting","0","Signed a petition","Joined and/or contribute to a community-lead group (via social media or in-person)","Called or written to a representative (local, state, or national)","0","0","Voted in the last federal election","Somewhat disagree","Zachary Taylor",56,"Female","White","0","0","0",0,"0","0","0","Yes","Pittsburg",54,"Urban","No Relationship","0","0","0","0","0","Gone boating (kayaking, canoeing, motorboating...)","0","Fished","Visited a local park","Visited a wildlife refuge or state park","Visited a national park (anywhere in the US)","High school graduate","Unemployed not looking for work","$50,000 - $59,999","Republican","0","Conservative","0","Pass"
-95.722297668457,36.0543975830078,"98.179.234.156","Message 2 River","I AGREE to participate",1,"None at all","None at all","0",0,"0",1,"Out of state lobby representative","Moderately likely",1,3,2,4,8,6,7,5,"Slightly less vulnerable","Much less vulnerable","Yes",50,"0",10,5,10,5,5,5,5,5,0,0,0,0,0,0,0,0,"Donated time or money to a political campaign","0","Attended a rally/demonstration/march","Signed a petition","Joined and/or contribute to a community-lead group (via social media or in-person)","Called or written to a representative (local, state, or national)","Served on a committee or board","Volunteered to register voters or work at a polling place","Voted in the last federal election","Somewhat agree","James K. Polk",27,"Female","White","0","0","0",0,"0","0","0","Yes","Wagoner",23,"Suburban","No Relationship","0","0","Camped","Gone ""off-roading""","Biked for recreation","Gone boating (kayaking, canoeing, motorboating...)","0","Fished","Visited a local park","Visited a wildlife refuge or state park","Visited a national park (anywhere in the US)","Some college","Employed part time","$60,000 - $69,999","Independent","0","&nbsp;","PROBABLY POLITICAL VIEW COMPARED TO DECISION-MAKING STATISTICS.","Pass"
82.9428100585938,55.0410003662109,"109.171.100.144","No Message Control","I AGREE to participate",1,"None at all","None at all","0",0,"0",0,"0","Extremely unlikely",1,6,2,5,7,4,8,3,"0","0","No",0,"I don't make enough as it is. I think that government must pay for this.",0,0,0,0,0,0,0,0,20,10,20,20,15,5,5,5,"0","0","0","0","0","0","0","0","0","Strongly disagree","Zachary Taylor",31,"Female","White","0","0","0",0,"0","0","0","No","Oklahoma",10,"Urban","No Relationship","0","0","0","0","0","0","0","0","Visited a local park","0","0","Some college","Employed full time","$20,000 - $29,999","Independent","0","&nbsp;","I dunno? Problems with this river I did not even know existed before this survey","Pass"
106.916687011719,47.9167022705078,"66.181.160.122","Message 1 OKC","I AGREE to participate",1,"A little","A little","0",1,"An attorney for the city",0,"0","Slightly unlikely",6,5,2,3,4,1,7,8,"Slightly more vulnerable","Moderately less vulnerable","Yes",10,"0",0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,"0","0","0","Signed a petition","Joined and/or contribute to a community-lead group (via social media or in-person)","0","0","0","Voted in the last federal election","Somewhat agree","Millard Fillmore",26,"Male","White","0","American Indian or Alaska Native","0",0,"0","0","0","Yes","Sequoyah",26,"Rural","Visit the area for recreation/tourism","0","Hiked","Camped","0","0","Gone boating (kayaking, canoeing, motorboating...)","0","Fished","Visited a local park","Visited a wildlife refuge or state park","0","4 year degree","Employed full time","$10,000 - $19,999","Independent","0","&nbsp;","Oklahomans and their reasoning behind their opinions on the Kiamichi Watershed.","Pass"
-95.4421997070312,29.7438049316406,"172.58.96.215","Message 2 River","I AGREE to participate",1,"A little","A little","0",0,"0",1,"An attorney challenging the permit","Slightly likely",4,1,7,3,2,8,5,6,"Slightly more vulnerable","About the same","Yes",50,"0",0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,"0","Attended a town hall or city council meeting","0","Signed a petition","Joined and/or contribute to a community-lead group (via social media or in-person)","0","0","0","0","Neither agree nor disagree","Millard Fillmore",29,"Female","White","0","0","0",0,"0","0","0","Yes","Logan",12,"Suburban","Visit the area for recreation/tourism","0","0","0","0","Biked for recreation","0","0","Fished","Visited a local park","0","Visited a national park (anywhere in the US)","4 year degree","Employed part time","$100,000 - $149,999","Republican","0","Conservative","0","Pass"
78.0833129882812,10.9499969482422,"144.48.51.132","No Message Control","I AGREE to participate",1,"A lot","A lot","A lot",0,"0",0,"0","Moderately likely",0,0,0,0,0,0,0,0,"Slightly less vulnerable","Much less vulnerable","Yes",25000,"0",2500,5000,4000,1000,3500,2000,5000,2000,0,0,0,0,0,0,0,0,"0","0","Attended a rally/demonstration/march","0","0","0","0","0","0","Agree","Millard Fillmore",33,"Female","White","0","0","0",0,"0","0","0","Yes","Oklahoma",33,"Rural","Resident near the river","0","0","0","0","0","0","Hunted","0","0","0","0","4 year degree","Employed part time","$30,000 - $39,999","Democrat","0","Neither/Even Split","good","Pass"
-97.4788970947266,35.335205078125,"174.236.0.134","No Message Control","I AGREE to participate",1,"A moderate amount","A lot","0",0,"0",0,"0","Slightly likely",2,3,1,4,7,5,8,6,"Much more vulnerable","Much more vulnerable","Yes",3,"0",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","Signed a petition","0","0","0","Volunteered to register voters or work at a polling place","0","Agree","Zachary Taylor",23,"Female","0","Black or African American","0","0",0,"0","0","0","Yes","Oklahoma",23,"Rural","Oklahoma City metro area resident","0","Hiked","Camped","0","0","0","0","0","0","Visited a wildlife refuge or state park","0","Some college","Student","Less than $10,000","Democrat","0","&nbsp;","How important lakes and rivers are to people.","Pass"
-97.4646987915039,35.6699066162109,"104.200.37.44","No Message Control","I AGREE to participate",1,"A little","A moderate amount","0",0,"0",0,"0","Slightly likely",2,4,6,3,1,8,7,5,"Slightly more vulnerable","Moderately more vulnerable","No",0,"more than intrest",0,0,0,0,0,0,0,0,10,10,10,20,10,10,10,20,"0","Attended a town hall or city council meeting","0","0","0","0","0","0","0","Somewhat agree","Millard Fillmore",28,"Male","0","0","0","0",0,"Hispanic","0","0","Yes","Oklahoma",0,"Urban","Oklahoma City metro area resident","0","0","0","Gone ""off-roading""","0","0","0","0","0","0","0","4 year degree","Employed part time","$40,000 - $49,999","Democrat","0","&nbsp;","good","Pass"
80.2804870605469,13.0843048095703,"122.178.21.254","Message 1 OKC","I AGREE to participate",1,"A lot","A moderate amount","0",1,"Out of state lobby representative",0,"0","Moderately likely",5,6,7,2,3,4,8,1,"Moderately less vulnerable","Slightly less vulnerable","Yes",300,"0",20,90,80,30,10,40,10,20,0,0,0,0,0,0,0,0,"0","Attended a town hall or city council meeting","0","Signed a petition","0","0","0","Volunteered to register voters or work at a polling place","0","Somewhat agree","Zachary Taylor",23,"Male","White","0","0","0",0,"0","0","0","Yes","Texas",2,"Rural","Visit the area for buisness","0","0","Camped","0","Biked for recreation","0","0","Fished","0","0","0","4 year degree","Employed full time","$40,000 - $49,999","Democrat","0","&nbsp;","0","Fail"
-96.6923980712891,34.7799987792969,"67.61.241.176","No Message Control","I AGREE to participate",1,"A little","A little","0",0,"0",0,"0","Slightly likely",5,3,2,4,1,8,7,6,"Slightly more vulnerable","Slightly more vulnerable","No",0,"I have too many other charitable, non-profit activities in which I'm involved and support.",0,0,0,0,0,0,0,0,23,21,7,22,22,1,2,2,"0","0","0","0","Joined and/or contribute to a community-lead group (via social media or in-person)","Called or written to a representative (local, state, or national)","0","0","Voted in the last federal election","Disagree","Millard Fillmore",68,"Male","White","0","0","0",0,"0","0","0","Yes","Pontotoc",36,"Rural","Visit the area for recreation/tourism","0","0","0","0","0","0","0","0","0","Visited a wildlife refuge or state park","0","Doctorate","Retired","$60,000 - $69,999","Independent","0","&nbsp;","Learn how people view and value the various benefits and targets of the water project.","Pass"
80.2804870605469,13.0843048095703,"49.207.184.64","Message 2 River","I AGREE to participate",1,"A moderate amount","A lot","0",0,"0",1,"The hearing examiner","Slightly likely",1,4,6,3,8,5,2,7,"Moderately less vulnerable","Much less vulnerable","Yes",1000,"0",60,50,200,100,100,140,200,150,0,0,0,0,0,0,0,0,"0","0","0","0","0","Called or written to a representative (local, state, or national)","0","0","0","Agree","James Buchanan",27,"Female","White","0","0","0",0,"0","0","0","Yes","Texas",2,"Suburban","Visit the area for buisness","0","0","Camped","0","0","0","0","0","0","0","0","4 year degree","Employed full time","$50,000 - $59,999","Republican","0","&nbsp;","nice survey about the resource","Fail"
